contract_id,party_a,party_b,effective_date,end_date,governing_law,amount,currency,dpa_present,contact_email,status,review_due_date,risk_level
C-104913,PartyA_92,PartyB_44,2023-03-12,2024-02-01,New York,136306.7,USD,y, user4913@bad email .com ,Signed,2023-02-23,MediumRisk
C-109338,PartyA_269,PartyB_106,2024-06-17,2024-04-30,Scotland,174789.21,GBP,Y, user9338@bad email .com ,Active,2025-02-05,MediumRisk
C-124211,PartyA_254,PartyB_162,2024-01-14,2024-02-23,England & Wales,43617.89, xyz ,Y,,Draft,2024-03-21,MediumRisk
C-118791,PartyA_57,PartyB_291,2023-05-16,2023-01-23,Nigeria,230143.99,ZAR,N,contact18791@example.com,Active,2023-11-28,MediumRisk
C-116066,PartyA_95,PartyB_285,2024-08-01,2026-03-16,New York,22165.84,usd,y,contact16066@example.com,Active,2025-04-16,MediumRisk
C-100050,PartyA_216,PartyB_200,2023-08-08,2023-06-14,England & Wales,104302.11, xyz ,n, user50@bad email .com ,Expired,2024-08-06,HighRisk
C-108482,PartyA_291,PartyB_89,2024-07-05,2024-05-09,New York,140809.39,GBP,Y,contact8482@example.com,Signed,2025-05-20,LowRisk
C-123390,PartyA_177,PartyB_147,2024-05-02,2024-06-19,England & Wales,205919.53,usd,n,,Draft,2024-12-30,MediumRisk
C-112776,PartyA_229,PartyB_159,2023-10-26,2025-10-02,Scotland,107864.78,EUR,Y,contact12776@example.com,Active,2024-06-18,LowRisk
C-106164,PartyA_113,PartyB_283,2024-01-10,2025-07-08,Delaware,232849.42,GBP,y,contact6164@example.com,Signed,2024-06-09,LowRisk
C-110633,PartyA_210,PartyB_259,2023-12-08,2024-07-17,New York,153492.36, xyz ,n,contact10633@example.com,Active,2024-04-22,MediumRisk
C-115750,PartyA_117,PartyB_4,2023-08-09,2023-11-10,New York,221228.86,NGN,N,contact15750@example.com,Draft,2024-04-12,MediumRisk
C-101686,PartyA_280,PartyB_9,2023-02-10,2024-05-05,New York,148067.55,ZAR,N,,Draft,2023-04-02,MediumRisk
C-112895,PartyA_218,PartyB_278,2024-08-10,2026-03-06,England & Wales,159190.61,GBP,y,contact12895@example.com,Active,2024-12-08,LowRisk
C-112862,PartyA_297,PartyB_216,2024-03-28,2026-03-12,England & Wales,240707.24,GBP, ,,Draft,2024-04-30,MediumRisk
C-104398,PartyA_40,PartyB_179,2024-01-30,2025-12-03,Scotland,47639.28, xyz ,y, user4398@bad email .com ,Active,2024-03-23,MediumRisk
C-116186,PartyA_281,PartyB_68,2023-04-14,2023-12-10,England & Wales,245375.23, xyz ,n,contact16186@example.com,Draft,2024-01-19,MediumRisk
C-124922,PartyA_134,PartyB_28,2024-06-29,2026-01-07,England & Wales,96272.58,NGN,N, user24922@bad email .com ,Expired,2024-12-07,HighRisk
C-111715,PartyA_152,PartyB_256,2024-03-29,2025-02-06,England & Wales,155376.5,INR,n,,Expired,2024-07-12,HighRisk
C-100724,PartyA_298,PartyB_92,2024-01-26,2024-08-02,Nigeria,244403.44,INR,N,,Active,2024-05-08,MediumRisk
C-113825,PartyA_103,PartyB_104,2024-07-01,2024-06-05,Scotland,60278.2,GBP, , user13825@bad email .com ,Signed,2024-10-21,MediumRisk
C-122124,PartyA_96,PartyB_121,2023-11-11,2025-02-18,England & Wales,100403.33,EUR,Y, user22124@bad email .com ,Expired,2023-10-16,HighRisk
C-104932,PartyA_189,PartyB_265,2024-04-09,2024-04-20,England & Wales,60729.29,NGN,n,contact4932@example.com,Draft,2024-10-01,MediumRisk
C-106377,PartyA_66,PartyB_162,2023-11-01,2024-11-16,Scotland,15132.6,ZAR, ,,Expired,2024-09-21,HighRisk
C-102805,PartyA_186,PartyB_120,2024-08-06,2025-01-29,New York,77701.89,EUR,y,,Active,2024-12-11,MediumRisk
C-115518,PartyA_280,PartyB_139,2023-03-11,2024-01-02,England & Wales,92910.11,USD, ,contact15518@example.com,Signed,2023-03-12,MediumRisk
C-112836,PartyA_83,PartyB_276,2024-01-28,2025-04-05,New York,78145.3,ZAR,n,contact12836@example.com,Signed,2025-01-19,MediumRisk
C-118758,PartyA_267,PartyB_139,2023-03-16,2025-02-01,Nigeria,32070.35,GBP,y,,Draft,2023-10-13,MediumRisk
C-111272,PartyA_223,PartyB_176,2024-07-11,2025-04-01,Delaware,33207.72,ZAR,N, user11272@bad email .com ,Signed,2025-04-22,MediumRisk
C-110499,PartyA_13,PartyB_279,2023-05-27,2024-08-13,Delaware,128759.54,GBP,Y,contact10499@example.com,Draft,2023-10-24,LowRisk
C-114467,PartyA_8,PartyB_4,2024-02-24,2025-12-05,Delaware,2313.43, xyz ,Y,contact14467@example.com,Expired,2025-01-05,HighRisk
C-119825,PartyA_194,PartyB_52,2024-08-17,2024-11-02,England & Wales,142198.65,GBP,n, user19825@bad email .com ,Draft,2025-02-10,MediumRisk
C-116323,PartyA_15,PartyB_184,2024-02-20,2024-12-07,Delaware,194032.08,INR,N, user16323@bad email .com ,Expired,2024-08-02,HighRisk
C-101026,PartyA_231,PartyB_83,2023-03-17,2024-03-29,New York,239845.08,NGN,n,contact1026@example.com,Draft,2023-05-18,MediumRisk
C-108739,PartyA_76,PartyB_101,2024-01-08,2025-02-18,New York,13336.63,USD,n,,Draft,2024-11-09,MediumRisk
C-114858,PartyA_89,PartyB_202,2023-03-26,2023-12-01,Scotland,61255.45,ZAR,N,,Signed,2024-01-06,MediumRisk
C-108349,PartyA_235,PartyB_56,2023-05-01,2023-12-25,Delaware,232459.95,ZAR, ,contact8349@example.com,Active,2024-01-15,MediumRisk
C-123575,PartyA_257,PartyB_264,2023-01-30,2023-06-23,Delaware,26440.09,EUR,y,contact23575@example.com,Signed,2023-06-17,LowRisk
C-117835,PartyA_215,PartyB_10,2023-01-11,2024-04-13,Scotland,47333.02,NGN, , user17835@bad email .com ,Active,2023-11-16,HighRisk
C-103198,PartyA_151,PartyB_147,2023-08-10,2024-02-11,Nigeria,54657.65,usd,y,contact3198@example.com,Signed,2024-07-01,MediumRisk
C-106800,PartyA_159,PartyB_86,2024-01-23,2024-04-30,England & Wales,235085.22,ZAR,n,contact6800@example.com,Active,2024-10-18,MediumRisk
C-105254,PartyA_51,PartyB_150,2024-05-18,2025-10-14,New York,183382.55, xyz , , user5254@bad email .com ,Active,2025-02-18,HighRisk
C-104224,PartyA_69,PartyB_162,2023-01-20,2023-07-07,New York,248387.28,USD,y,,Signed,2023-08-05,MediumRisk
C-109100,PartyA_157,PartyB_182,2023-06-10,2025-03-27,Delaware,79980.15,ZAR,N,,Active,2023-08-12,MediumRisk
C-118402,PartyA_269,PartyB_159,2023-04-10,2023-09-21,Delaware,56743.48,INR, ,contact18402@example.com,Signed,2023-10-07,MediumRisk
C-119967,PartyA_136,PartyB_200,2024-05-18,2026-01-25,England & Wales,139299.69,USD, ,,Expired,2025-02-26,HighRisk
C-120723,PartyA_139,PartyB_116,2024-04-28,2025-08-07,Nigeria,17613.4,USD,Y,contact20723@example.com,Expired,2024-12-17,MediumRisk
C-106067,PartyA_239,PartyB_272,2023-09-08,2024-12-20,England & Wales,102938.78,usd,N,contact6067@example.com,Active,2023-11-05,MediumRisk
C-100123,PartyA_73,PartyB_16,2023-11-13,2024-06-27,New York,88404.83,USD, ,contact123@example.com,Active,2023-11-29,MediumRisk
C-101247,PartyA_4,PartyB_17,2023-04-24,2025-03-26,New York,151397.69,USD,N, user1247@bad email .com ,Active,2024-03-08,MediumRisk
C-100820,PartyA_4,PartyB_186,2024-05-07,2026-01-29,New York,192318.75,usd,N, user820@bad email .com ,Expired,2024-04-12,HighRisk
C-100580,PartyA_69,PartyB_6,2024-07-22,2025-04-21,Delaware,210988.59,usd,N, user580@bad email .com ,Expired,2024-07-28,HighRisk
C-104828,PartyA_194,PartyB_219,2024-03-12,2025-03-30,England & Wales,101407.24,usd,Y,contact4828@example.com,Active,2024-07-22,MediumRisk
C-111395,PartyA_50,PartyB_162,2023-04-20,2023-07-03,Delaware,32038.07,GBP,Y,,Active,2023-07-06,MediumRisk
